id	name	altname	hierarchy	taxrange	reaId	reaEc	keyRea	reaName	reaNr	ecNr	superpathway	status	spont
|rTCA1|	reductive TCA cycle I	reductive TCA cycle I,reductive tricarboxylic acid cycle,reductive tricarboxylic acid pathway,reductive citric acid cycle,reverse citric acid cycle,carbon fixation,CO<SUB>2</SUB> fixation,reductive carboxylic acid cycle	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|,|Reductive-TCA-Cycles|	|TAX-3052|,|TAX-1224|,|TAX-2157|,|TAX-68336|,|TAX-200783|	FUMHYDR-RXN,SUCCCOASYN-RXN,2-OXOGLUTARATE-SYNTHASE-RXN,ACONITATEHYDR-RXN,ACONITATEDEHYDR-RXN,ATP-CITRATE-PRO-S--LYASE-RXN,ISOCITDEH-RXN,MALATE-DEH-RXN,R601-RXN	4.2.1.2,6.2.1.5,1.2.7.3,4.2.1.3,4.2.1.3,2.3.3.8,1.1.1.42,1.1.1.37,1.3.5.4	2-OXOGLUTARATE-SYNTHASE-RXN	fumarase;succinyl-CoA synthetase;2-OXOGLUTARATE-SYNTHASE-RXN;cis-aconitate hydratase;citrate hydro-lyase (cis-aconitate-forming);ATP-citrate lyase;PYRUFLAVREDUCT-RXN;pyruvate, water dikinase;fumarate reductase;isocitrate dehydrogenase;malate dehydrogenase;fumarate;phosphoenolpyruvate_carboxylase_reductase;pyruvate_water_dikinase	12	12	FALSE	TRUE	
|rTCA2|	reductive TCA cycle II	reductive TCA cycle II,reductive tricarboxylic acid cycle,reductive tricarboxylic acid pathway,reductive citric acid cycle,reverse citric acid cycle,carbon fixation,CO<SUB>2</SUB> fixation,reductive carboxylic acid cycle	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|,|Reductive-TCA-Cycles|	|TAX-200783|	FUMHYDR-RXN,SUCCCOASYN-RXN,2-OXOGLUTARATE-SYNTHASE-RXN,ACONITATEHYDR-RXN,ACONITATEDEHYDR-RXN,PYRUFLAVREDUCT-RXN,CITRATE--COA-LIGASE-RXN,RXN-7929,RXN-8457,R23-RXN,MALATE-DEH-RXN,R601-RXN	4.2.1.2,6.2.1.5,1.2.7.3,4.2.1.3,4.2.1.3,1.2.7.1,6.2.1.18,4.1.3.34,6.4.1.7,1.1.1.-,1.1.1.37,1.3.5.4	2-OXOGLUTARATE-SYNTHASE-RXN	FUMHYDR-RXN;SUCCCOASYN-RXN;2-oxoglutarate:ferredoxin oxidoreductase;cis-aconitate hydratase;ACONITATEDEHYDR-RXN;pyruvate:ferredoxin oxidoreductase;citryl-CoA synthetase;citryl-coA lyase;2-oxoglutarate carboxylase;oxalosuccinate reductase;MALATE-DEH-RXN;R601-RXN	12	12	FALSE	TRUE	
|4HB3HP|	3-hydroxypropanoate/4-hydroxybutanate cycle	3-hydroxypropanoate/4-hydroxybutanate cycle,3-HP/4-HB cycle,3-hydroxypropionate/4-hydroxybutyrate cycle	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|	|TAX-28889|	RXN-8963,RXN-8974,PROPIONYL-COA-CARBOXY-RXN,METHYLMALONYL-COA-EPIM-RXN,METHYLMALONYL-COA-MUT-RXN,RXN-6383,RXN-9087,RXN-9086,ACETYL-COA-ACETYLTRANSFER-RXN,RXN-8891,RXN-9092,RXN-8890,RXN-11662,RXN-11667,RXN-11002,RXN0-5055	1.2.1.75,1.1.1.298,6.4.1.3,5.1.99.1,5.4.99.2,4.2.1.116,1.3.1.84,6.2.1.36,2.3.1.9,1.2.1.76,6.2.1.40,4.2.1.120,1.1.1.35,4.2.1.150,1.1.1.co,2.1.3.15	PROPIONYL-COA-CARBOXY-RXN	malonyl-coenzyme A reductase;malonate semialdehyde reductase;propionyl CoA carboxylase;methylmalonyl-CoA epimerase;methylmalonyl-CoA mutase;3-hydroxypropionyl-CoA dehydratase;acrylyl-CoA reductase;3-hydroxypropionyl-CoA synthetase;acetoacetyl-CoA beta-ketothiolase;succinate-semialdehyde dehydrogenase (acylating);succinyl-CoA reductase;4-hydroxybutyryl-CoA synthetase;4-hydroxybutyryl-CoA dehydratase;(S)-3-hydroxybutyryl-CoA dehydrogenase;succinate semialdehyde reductase;acetyl-CoA carboxytransferase	18	18	FALSE	TRUE	
|3HP|	superpathway of the 3-hydroxypropanoate cycle	superpathway of the 3-hydroxypropanoate cycle,superpathway of the 3-hydroxypropionate cycle	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|	|TAX-200795|	RXN-8963,RXN-8974,PROPIONYL-COA-CARBOXY-RXN,METHYLMALONYL-COA-EPIM-RXN,METHYLMALONYL-COA-MUT-RXN,RXN-8964,MALYL-COA-LYASE-RXN,RXN-6383,RXN-9087,RXN-9086,RXN0-5055,BIOTIN-CARBOXYL-RXN,RXN0-5224,RXN-8961,RXN-8960,RXN-8965,RXN-8963,RXN-8974,RXN-13230,CITRAMALYL-COA-LYASE-RXN,RXN-9086,RXN-6383,RXN-9087,RXN0-5055,BIOTIN-CARBOXYL-RXN,RXN0-5224	1.2.1.75,1.1.1.298,6.4.1.3,5.1.99.1,5.4.99.2,2.8.3.22,4.1.3.24,4.2.1.116,1.3.1.84,6.2.1.36,2.1.3.15,6.3.4.14,4.2.1.1,4.1.3.24,4.2.1.148,4.2.1.153,1.2.1.75,1.1.1.298,5.4.1.3,4.1.3.25,6.2.1.36,4.2.1.116,1.3.1.84,2.1.3.15,6.3.4.14,4.2.1.1	PROPIONYL-COA-CARBOXY-RXN,BIOTIN-CARBOXYL-RXN	malonate semialdehyde:NADP+ oxidoreductase (malonate semialdehyde-forming);3-hydroxypropionate:NADP+ oxidoreductase;propionyl-CoA carboxylase;methylmalonyl-CoA epimerase;methylmalonyl-CoA mutase;succinyl CoA:L-malate CoA transferase;L-malyl CoA lyase;3-hydroxypropionyl-CoA dehydratase;acrylyl-CoA reductase;3-hydroxypropionate:CoA ligase;acetyl-CoA carboxyltransferase;biotin carboxylase;RXN0-5224;beta-methylmalyl CoA lyase;beta-methylmalyl-CoA dehydratase;mesaconyl-C4-CoA hydratase;malonate semialdehyde:NADP+ oxidoreductase (malonate semialdehyde-forming);3-hydroxypropionate:NADP+ oxidoreductase;mesaconyl-C1-CoA-C4-CoA transferase;(S)-citramalyl-CoA lyase;3-hydroxypropionate:CoA ligase;3-hydroxypropionyl-CoA dehydratase;acrylyl-CoA reductase;acetyl-CoA carboxyltransferase;biotin carboxylase;RXN0-5224	26	26	TRUE	TRUE	
|DC4HB|	Dicarboxylate/4-hydroxybutanate cycle	Dicarboxylate/4-hydroxybutanate cycle	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|	|TAX-28889|	RXN-8891,RXN-9092,RXN-8890,RXN-11662,RXN-11667,RXN-11002,ACETYL-COA-ACETYLTRANSFER-RXN,PYRUFLAVREDUCT-RXN,PEPSYNTH-RXN,PEPCARBOX-RXN,MALATE-DEH-RXN,FUMHYDR-RXN,R601-RXN,SUCCCOASYN-RXN	1.2.1.76,6.2.1.40,4.2.1.120,1.1.1.35,4.2.1.150,1.1.1.co,2.3.1.9,1.2.7.1,2.7.9.2,4.1.1.31,1.1.1.37,4.2.1.2,1.3.5.4,6.2.1.5	PYRUFLAVREDUCT-RXN,PEPCARBOX-RXN	succinyl-CoA reductase;4-hydroxybutyryl-CoA synthetase;4-hydroxybutyryl-CoA dehydratase;(S)-3-hydroxybutyryl-CoA dehydrogenase;crotonyl-CoA hydratase;succinate semialdehyde reductase;acetoacetyl-CoA β-ketothiolase;pyruvate synthase;phosphoenolpyruvate synthetase;phosphoenolpyruvate carboxylase;malate dehydrogenase;fumarase;fumarate reductase;succinyl-CoA synthetase	18	18	FALSE	TRUE	
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	Calvin-Benson-Bassham cycle,photosynthetic dark reactions,photosynthetic CO<SUB>2</SUB> fixation,reductive pentose phosphate pathway,Calvin cycle,photosynthesis - dark reaction,carbon fixation,Calvin-Benson cycle	|Energy-Metabolism|,|Photosynthesis|,|Biosynthesis|,|Carbohydrates-Biosynthesis|,|CARBO-BIOSYNTHESIS|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|	|TAX-1117|,|TAX-39119|,|TAX-38254|,|TAX-29197|,|TAX-38410|,|TAX-5747|,|TAX-2864|,|TAX-877183|,|TAX-2836|,|TAX-3027|,|TAX-2830|,|TAX-2833|,|TAX-3041|,|TAX-33682|,|TAX-2763|,|TAX-2870|,|TAX-2825|,|TAX-2|,|TAX-33090|	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN,PHOSGLYPHOS-RXN,1.2.1.13-RXN,TRIOSEPISOMERIZATION-RXN,F16ALDOLASE-RXN,SEDOBISALDOL-RXN,F16BDEPHOS-RXN,1TRANSKETO-RXN,2TRANSKETO-RXN,SEDOHEPTULOSE-BISPHOSPHATASE-RXN,RIBULP3EPIM-RXN,PHOSPHORIBULOKINASE-RXN,RIB5PISOM-RXN	4.1.1.39,2.7.2.3,1.2.1.13,5.3.1.1,4.1.2.13,4.1.2,3.1.3.11,2.2.1.1,2.2.1.1,3.1.3.37,5.1.3.1,2.7.1.19,5.3.1.6	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	ribulose bisphosphate carboxylase;phosphoglycerate kinase;glyceraldehyde-3-phosphate dehydrogenase;triosephosphate isomerase;fructose-bisphosphate aldolase;sedoheptulose-1,7-bisphosphate aldolase;fructose 1,6-bisphosphatase;sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycoaldehyde transferase;D-fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase;sedoheptulose bisphosphatase;pentose-5-phosphate 3-epimerase;phosphoribulokinase;ribose 5-phosphate isomerase	13	13	FALSE	TRUE	
|CODHb-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria),Wood pathway,acetate synthesis,acetyl-CoA pathway,carbon monoxide dehydrogenase pathway,carbon fixation,CO<SUB>2</SUB> fixation,Ljungdahl-Wood pathway,Wood-Ljungdahl pathway,reductive acetyl CoA pathway	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|	|TAX-2157|,|TAX-2|	FORMATE-DEHYDROGENASE-NADP+-RXN,METHCOCLTH-RXN,ACETYLSYNCLTH-RXN,RXN-5061,1.5.1.20-RXN,METHENYLTHFCYCLOHYDRO-RXN,FORMATETHFLIG-RXN,METHYLENETHFDEHYDROG-NADP-RXN,1.2.7.4-RXN	1.17.1.10,2.1.1.258,2.3.1.169,1.5.7.1,1.5.1.20,3.5.4.9,6.3.4.3,1.5.1.5,1.2.7.4	FORMATE-DEHYDROGENASE-NADP+-RXN	NADP-dependent formate dehydrogenase;methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase;CO-methylating acetyl-CoA synthase;methylenetetrahydrofolate reductase;5,10-methylenetetrahydrofolate reductase;methenyltetrahydrofolate cyclohydrolase;formyltetrahydrofolate synthetase;NADP+-dependent methylenetetrahydrofolate dehydrogenase;carbon monoxide dehydrogenase (ferredoxin)	9	9	FALSE	TRUE	
|CODHa-PWY|	reductive acetyl coenzyme A pathway II (autotrophic methanogens)	reductive acetyl coenzyme A pathway II (autotrophic methanogens),acetyl-CoA pathway (autotrophic methanogens),Ljungdahl-Wood pathway (autotrophic methanogens),Wood-Ljungdahl pathway (autotrophic methanogens),reductive acetyl CoA pathway (autotrophic methanogens)	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|	|TAX-183988|,|TAX-224756|,|TAX-183939|,|TAX-183925|,|TAX-2157|	ACETYLSYNCLTH-RXN,1.2.7.4-RXN,2.1.1.86-RXN,FORMYLMETHANOFURAN-DEHYDROGENASE-RXN,2.3.1.101-RXN,3.5.4.27-RXN,H2-METHYLENE-THMPT-DEHYDRO-RXN,METHELENE-THMPT-OXI-RXN	2.3.1.169,1.2.7.4,2.1.1.86,1.2.7.12,2.3.1.101,3.5.4.27,1.12.98.2,1.5.98.2	FORMYLMETHANOFURAN-DEHYDROGENASE-RXN	acetyl-CoA decarbonylase;carbon-monoxide dehydrogenase;RXN-17760;formylmethanofuran dehydrogenase;formylmethanofuran:H4MPT formyltransferase;methenyl-H4MPT cyclohydrolase;H2-forming methylene-H4MPT dehydrogenase;F420-dependent methylene-H4MPT reductase	8	8	FALSE	TRUE	
